coord,addr,name
"[37.75221179543276,126.76578931078588]",경기도 파주시 금촌동 986-1 청원센트럴타워 1층,스타벅스 파주금릉역점
"[37.7689000039829,126.69651496109952]",경기도 파주시 탄현면 법흥리 1790-8 파주프리미엄아울렛 3F 715,스타벅스 파주프리미엄아울렛점
"[37.66375220969776,126.60268634012903]",경기도 김포시 대곶면 거물대리 134-10 ,한주
"[37.60221560555109,126.72203305191775]",경기도 김포시 풍무동 620-1 스타벅스 지하 1층,라온하제
"[37.24247558557876,127.61229722818155]",경기도 여주시 상거동 460 ,스타벅스 여주프리미엄아울렛점 2층
"[37.241404158729935,127.61257322261427]",경기도 여주시 상거동 15-1 ,스타벅스 여주프리미엄점
"[37.240836427122005,127.61256485727077]",경기도 여주시 상거동 460 여주프리미엄아울렛 2F,스타벅스 여주프리미엄입구점
"[37.252374050713755,127.48981345948548]",경기도 이천시 부발읍 아미리 726-5 1층,스타벅스 이천하이닉스점
"[37.64812975543659,127.68602288843006]",강원도 홍천군 서면 팔봉리 1279-3 ,스타벅스 오션월드입구점
"[37.64812984590665,127.68605688499547]",강원도 홍천군 서면 팔봉리 1279-3 ,스타벅스 오션월드점
"[37.64947451456869,127.68684450149102]",강원도 홍천군 서면 팔봉리,스타벅스오션월드2점
"[37.6451818415744,127.68211447064323]",강원도 홍천군 서면 팔봉리,스타벅스대명비발디점
"[37.654056189049086,127.24286140112972]",경기도 남양주시 호평동 638 성보빌딩 1층,스타벅스 평내호평역점
"[37.64784933203198,127.23468600543832]",경기도 남양주시 평내동 246-2 ,스타벅스 평내DT점
"[37.511519074201765,127.09437143982473]",서울특별시 송파구 잠실동 40 갤러리아팰리스 1층,스타벅스 갤러리아팰리스점
"[37.515223210417126,127.09919078252959]",서울특별시 송파구 신천동 7-17 한빛프라자 1층,스타벅스 잠실역점
"[37.50938457659827,127.1051426664856]",서울특별시 송파구 송파동 7-4 ,스타벅스 석촌호수점
"[37.53603341071023,127.0927738371221]",서울특별시 광진구 구의동 589-10 ,스타벅스 강변역점
"[37.538681095274264,127.07287191990213]",서울특별시 광진구 자양동 227-7 스타시티 쇼핑몰 2층,스타벅스 건대스타시티
"[37.54065549480786,127.07072012308248]",서울특별시 광진구 화양동 5-47 ,스타벅스 건대입구점
"[37.53693911394517,127.08403889199711]",서울특별시 광진구 구의동 246-15 ,스타벅스 구의역점
"[37.55702103337188,127.07909609211168]",서울특별시 광진구 군자동 478-5 1~2층,스타벅스 군자역점
"[37.579570660303986,127.08793230149709]",서울특별시 중랑구 면목동 617-2 ,스타벅스 사가정역점
"[37.51154362453421,127.08121609753866]",서울특별시 송파구 잠실동 181 1층,스타벅스 신천역점
"[37.59682254705822,127.08637418304527]",서울특별시 중랑구 상봉동 100-2 ,스타벅스 상봉역점
"[37.5043095995979,127.10606282081204]",서울특별시 송파구 석촌동 286-9 우전빌딩 1층,스타벅스 석촌역점
"[37.593082837050055,127.07475656508288]",서울특별시 중랑구 상봉동 130-3 ,스타벅스 중랑역점
"[37.65054303558423,127.07606130030368]","서울특별시 노원구 중계동 360-6 중흥빌딩 103, 203호",스타벅스 은행사거리점
"[37.51724542580066,127.10325016964207]",서울특별시 송파구 신천동 11-4 푸르지오월드마크 1층,스타벅스 잠실점
"[37.54527218139107,127.08732054573456]",서울특별시 광진구 구의동 67-37 ,스타벅스 구의DT점
"[37.5022786421047,127.11036218602744]",서울특별시 송파구 송파동 96-7 ,스타벅스 송파사거리점
"[37.50641802156057,127.09658206780902]",서울특별시 송파구 삼전동 130-2 1층,스타벅스 석촌서호점
"[37.538460626912915,127.07118866160967]",서울특별시 광진구 자양동 227-342 ,스타벅스 건국클래식점
"[37.537360509759985,127.08260802245903]",서울특별시 광진구 자양동 779-5 타워 더 모스트 아크로텔 1층,스타벅스 자양사거리점
"[37.51066187447783,127.07906647363399]",서울특별시 송파구 잠실동 175 ,스타벅스 아시아선수촌점
"[37.61424572068454,127.07789246324484]",서울특별시 중랑구 묵1동 170-1 ,스타벅스 묵동이마트점
"[37.54265375443581,127.09952849046857]",서울특별시 광진구 광장동,스타벅스광장점
"[37.58124179162472,127.0896441572283]",서울특별시 중랑구 면목동 461-24 1층,한우빵
"[37.402745986573635,127.09947726006281]",경기도 성남시 분당구 삼평동 617 ,스타벅스 판교브릿지타워점
"[37.385975586594284,127.12204816826416]",경기도 성남시 분당구 서현동 261-5 ,스타벅스 서현N타운점
"[37.38416951639945,127.12030764858017]",경기도 성남시 분당구 서현동 267-3 ,스타벅스 분당구청점
"[37.39129696031715,127.07772799831078]",경기도 성남시 분당구 운중동 943 ,스타벅스 서판교점
"[37.39258710068137,127.11207802571008]",경기도 성남시 분당구 백현동 541 ,인얼스커피 현대백화점판교점
"[37.245114594763,127.05598915270812]",경기도 수원시 영통구 망포동 322-3 골든스퀘어 120-1호,스타벅스 수원망포역점
"[37.255569928570615,127.07459424581369]",경기도 수원시 영통구 영통동 958-2 ,스타벅스 수원영통점
"[37.24796335914868,127.07672746383392]",경기도 수원시 영통구 영통동 1024-4 ,스타벅스 경희대국제캠퍼스점
"[37.267133050080126,127.07486992230068]",경기도 용인시 기흥구 영덕동 522-2 ,스타벅스 수원IC DT점
"[37.20173443560541,127.07290880604066]",경기도 화성시 반송동 106-1 동탄파라곤2 상가 1층,스타벅스 동탄점
"[37.20827697375051,127.06381609229797]",경기도 화성시 반송동 42-2 센트럴파티오 1층,스타벅스 동탄센트럴파크점
"[37.20490697706802,127.07184485350638]",경기도 화성시 반송동 93-1 ,스타벅스 동탄광장점
"[37.20611034996952,127.07247225179181]",경기도 화성시 동탄1동 134 ,NOBJE
"[37.57214266477144,126.98695417014983]",서울특별시 종로구 인사동 39 ,스타벅스 인사점
"[37.5712847949099,126.97629080139363]",서울특별시 종로구 세종로 185-2 ,스타벅스 광화문점
"[37.56445341950784,126.97923673259922]",서울특별시 중구 소공동 87-10 ,스타벅스 소공동점
"[37.569941210914536,126.9845162194226]",서울특별시 종로구 종로2가 84-10 ,스타벅스 종각점
"[37.57055773202593,126.99021319815692]",서울특별시 종로구 종로3가 9-3 ,스타벅스 종로3가점
"[37.56804284402089,126.97857648354312]",서울특별시 중구 무교동 45 코오롱 빌딩 1층,스타벅스 무교동점
"[37.57760205585325,126.89063903333532]",서울특별시 마포구 상암동 1654 이안상암 1단지 102호,스타벅스 상암DMC점
"[37.56448896741932,126.97917965148301]",서울특별시 중구 소공동 87-10 ,스타벅스커피 코리아
"[37.56363197146954,126.9645784193425]",서울특별시 서대문구 충정로2가 191 유원골든타워 102호,스타벅스 경기대점
"[37.57488406007673,126.96951698730976]",서울특별시 종로구 사직동 9 광화문풍림스페이스본 201동 109호,스타벅스 스페이스본점
"[37.575319217719745,126.97396008260002]",서울특별시 종로구 적선동 66 노스게이트빌딩 1층,스타벅스 적선점
"[37.56729797640596,126.96855746122151]","서울특별시 중구 충정로1가 68 문화일보 1, 2층",스타벅스 문화일보점
"[37.573858635517325,126.97905176396019]",서울특별시 종로구 수송동 146-1 ,스타벅스 이마빌딩점
"[37.568920042685605,126.98416784734127]",서울특별시 종로구 관철동 43-9 ,스타벅스 광교점
"[37.58536110359792,126.98174792249566]",서울특별시 종로구 삼청동 112 ,스타벅스 삼청동점
